,Score,Vector
"Scikit Optimize (Gaussian Process, Matern, round)",0.7680875594088185,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
"Scikit Optimize (Gaussian Process, Hamming, round)",0.7636061591438336,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, round)",0.7670851865687569,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=5)",0.6955745128594033,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=10)",0.7262415544626064,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=15)",0.7558117034061769,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=20)",0.7669827634151425,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=25)",0.7722284915146891,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=5)",0.6916762889129079,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=10)",0.7377132195017391,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=15)",0.7577064063589233,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=20)",0.768382440362051,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=25)",0.7733698583710261,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=5)",0.6863720324558118,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=10)",0.7262415544626064,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=15)",0.7558581696333794,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=20)",0.7669827634151425,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=25)",0.7734690248819529,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
